variable,form,p1,p2,p3
a,briere,0.000175776,3.490979,41.8226
lf,quadratic,0.1210401,1.9334458,37.5509388
bc,quadratic,0.003672395,12.11497854,38.13451902
pEA,quadratic,0.00809132,15.35285981,36.95293814
MDR,briere,0.000106632,13.36284,35.96712
B,briere,0.3335789,8.9871276,32.9394485
G,quadratic,0.00317107,8.75713349,43.22849889
