variable,form,p1,p2,p3
a,briere,0.00009909,11.75336,43.94362
lf,quadratic,0.05050002,1.73644511,37.59197227
EFD,briere,0.007258325,8.577127443,39.99476119
PDR,briere,0.000054155,9.064107,43.51257
bc,quadratic,0.003672395,12.11497854,38.13451902
pEA,quadratic,0.00809132,15.35285981,36.95293814
MDR,briere,0.000106632,13.36284,35.96712
